creatorLabel,datebirth,datedeath,placebirthLabel,coord,lat_long,placedeathLabel,coord_2,lat_long_2
Pedro Berruguete,1450-01-01T00:00:00Z,1504-01-01T00:00:00Z,province de Palencia,Point(-4.5 42.416666666),"42.416666666667, -4.5",Ávila,,"40.654347222222, -4.6962222222222"
Ambrosius Holbein,1494-01-01T00:00:00Z,1519-01-01T00:00:00Z,Augsbourg,Point(10.898333333 48.371666666),"48.371666666667, 10.898333333333",Bâle,,"47.550555555556, 7.5911111111111"
Behzad,1460-01-01T00:00:00Z,1535-01-01T00:00:00Z,Hérat,Point(62.179180555 34.37385),"34.37385, 62.179180555556",Hérat,,"34.37385, 62.179180555556"
Lattanzio Gambara,1530-01-01T00:00:00Z,1574-03-18T00:00:00Z,Brescia,Point(10.220280555 45.538888888),"45.538888888889, 10.220280555556",Brescia,,"45.538888888889, 10.220280555556"
Jörg Ratgeb,1485-01-01T00:00:00Z,1526-01-01T00:00:00Z,Schwäbisch Gmünd,Point(9.8 48.8),"48.8, 9.8",Pforzheim,,"48.9, 8.7166666666667"
Joos van Cleve,1485-01-01T00:00:00Z,1540-01-01T00:00:00Z,Clèves,Point(6.135277777 51.7875),"51.7875, 6.1352777777778",Anvers,,"51.216666666667, 4.4"
Jörg Breu l'Ancien,1475-01-01T00:00:00Z,1537-01-01T00:00:00Z,Augsbourg,Point(10.898333333 48.371666666),"48.371666666667, 10.898333333333",Augsbourg,,"48.371666666667, 10.898333333333"
Giovanni Antonio Boltraffio,1467-01-01T00:00:00Z,1516-01-01T00:00:00Z,Milan,Point(9.190336 45.464161),"45.464161, 9.190336",Milan,,"45.464161, 9.190336"
Virgil Solis,1514-01-01T00:00:00Z,1562-08-01T00:00:00Z,Nuremberg,Point(11.077777777 49.452777777),"49.452777777778, 11.077777777778",Nuremberg,,"49.452777777778, 11.077777777778"
Joachim Patinier,1480-01-01T00:00:00Z,1524-10-05T00:00:00Z,Dinant,Point(4.913611111 50.256388888),"50.256388888889, 4.9136111111111",Anvers,,"51.216666666667, 4.4"
Jacopo Strada,1507-01-01T00:00:00Z,1588-09-06T00:00:00Z,Mantoue,Point(10.791111111 45.156388888),"45.156388888889, 10.791111111111",Vienne,,"48.20833, 16.373064"
Jean Bourdichon,1457-01-01T00:00:00Z,1521-01-01T00:00:00Z,Tours,Point(0.688333333 47.392777777),"47.392777777778, 0.68833333333333",Tours,,"47.392777777778, 0.68833333333333"
