creatorLabel,datebirth,datedeath,placebirthLabel,coord,lat_long,placedeathLabel,coord_2,lat_long_2
Adolf Hölzel,1853-05-13T00:00:00Z,1934-10-17T00:00:00Z,Olomouc,Point(17.260277777 49.596111111),"49.596111111111, 17.260277777778",Stuttgart,,"48.776111111111, 9.1775"
Jiří Trnka,1912-02-24T00:00:00Z,1969-12-30T00:00:00Z,Plzeň,Point(13.3825 49.741388888),"49.741388888889, 13.3825",Prague,,"50.088611111111, 14.421388888889"
Adolf Noether,1855-12-09T00:00:00Z,1943-07-08T00:00:00Z,Dresde,Point(13.733333333 51.033333333),"51.033333333333, 13.733333333333",Dresde,,"51.033333333333, 13.733333333333"
Paul Sérusier,1864-11-09T00:00:00Z,1927-10-07T00:00:00Z,Paris,Point(2.351827777 48.856577777),"48.856577777778, 2.3518277777778",Morlaix,,"48.5775, -3.8277777777778"
Roman Cieslewicz,1930-01-13T00:00:00Z,1996-01-21T00:00:00Z,Lviv,Point(24.014166666 49.83),"49.83, 24.014166666667",Paris,,"48.856577777778, 2.3518277777778"
Jan Thorn Prikker,1868-06-05T00:00:00Z,1932-03-05T00:00:00Z,La Haye,Point(4.3175 52.084166666),"52.084166666667, 4.3175",Cologne,,"50.942222222222, 6.9577777777778"
Daniel Ridgway Knight,1839-03-15T00:00:00Z,1924-03-09T00:00:00Z,Chambersburg,Point(-77.65611 39.93472),"39.93472, -77.65611",Paris,,"48.856577777778, 2.3518277777778"
Nadejda Oudaltsova,1886-01-10T00:00:00Z,1961-01-25T00:00:00Z,Orel,Point(36.083333333 52.966666666),"52.966666666667, 36.083333333333",Moscou,,"55.755833333333, 37.617777777778"
Alice Neel,1900-01-28T00:00:00Z,1984-10-13T00:00:00Z,"Gladwyne, Pennsylvanie",Point(-75.283333333 40.033333333),"40.033333333333, -75.283333333333",New York,,"40.67, -73.94"
Karl Jauslin,1842-05-21T00:00:00Z,1904-10-12T00:00:00Z,Muttenz,Point(7.65 47.516666666),"47.516666666667, 7.65",Muttenz,,"47.516666666667, 7.65"
Ottoline Morrell,1873-06-16T00:00:00Z,1938-04-21T00:00:00Z,Tunbridge Wells,Point(0.263 51.132),"51.132, 0.263",Londres,,"51.507222222222, -0.1275"
José Belloni,1882-09-12T00:00:00Z,1965-11-28T00:00:00Z,Montevideo,Point(-56.166666666 -34.866944444),"-34.866944444444, -56.166666666667",Montevideo,,"-34.866944444444, -56.166666666667"
Laura Theresa Alma-Tadema,1852-04-16T00:00:00Z,1909-08-15T00:00:00Z,Londres,Point(-0.1275 51.507222222),"51.507222222222, -0.1275",Londres,,"51.507222222222, -0.1275"
Karl Jauslin,1842-05-21T00:00:00Z,1904-10-13T00:00:00Z,Muttenz,Point(7.65 47.516666666),"47.516666666667, 7.65",Muttenz,,"47.516666666667, 7.65"
Jane Winton,1905-10-10T00:00:00Z,1959-09-22T00:00:00Z,Philadelphie,Point(-75.163333333 39.953055555),"39.953055555556, -75.163333333333",New York,,"40.67, -73.94"
John Tenniel,1820-02-28T00:00:00Z,1914-02-25T00:00:00Z,Londres,Point(-0.1275 51.507222222),"51.507222222222, -0.1275",Londres,,"51.507222222222, -0.1275"
Heinrich Johann Michael Ferdinand Hofmann,1824-03-19T00:00:00Z,1911-06-23T00:00:00Z,Darmstadt,Point(8.65 49.866666666),"49.866666666667, 8.65",Dresde,,"51.033333333333, 13.733333333333"
George Maciunas,1931-11-08T00:00:00Z,1978-05-09T00:00:00Z,Kaunas,Point(23.933333333 54.9),"54.9, 23.933333333333",Boston,,"42.357777777778, -71.061666666667"
Beatrice Wood,1893-03-03T00:00:00Z,1998-03-12T00:00:00Z,San Francisco,Point(-122.433333 37.766667),"37.766667, -122.433333",Ojai,,"34.449166666667, -119.24666666667"
Thérèse Schwartze,1851-12-20T00:00:00Z,1918-12-23T00:00:00Z,Amsterdam,Point(4.9 52.383333333),"52.383333333333, 4.9",Amsterdam,,"52.383333333333, 4.9"
Hollis Frampton,1936-03-11T00:00:00Z,1984-03-30T00:00:00Z,Ohio,Point(-82.5 40.5),"40.5, -82.5",New York,,"40.67, -73.94"
Tadeusz Brzozowski,1918-11-01T00:00:00Z,1987-04-13T00:00:00Z,Lviv,Point(24.014166666 49.83),"49.83, 24.014166666667",Rome,,"41.893055555556, 12.482777777778"
Heinrich Johann Michael Ferdinand Hofmann,1824-01-01T00:00:00Z,1911-06-23T00:00:00Z,Darmstadt,Point(8.65 49.866666666),"49.866666666667, 8.65",Dresde,,"51.033333333333, 13.733333333333"
Marianne Brandt,1893-10-01T00:00:00Z,1983-06-18T00:00:00Z,Chemnitz,Point(12.916666666 50.833333333),"50.833333333333, 12.916666666667",Kirchberg,,"50.622222222222, 12.525555555556"
Laura Theresa Alma-Tadema,1852-04-16T00:00:00Z,1909-08-15T00:00:00Z,Londres,Point(-0.1275 51.507222222),"51.507222222222, -0.1275",Hindhead,,"51.1172, -0.7348"
Stanislav Feikl,1883-11-12T00:00:00Z,1933-01-07T00:00:00Z,Háje nad Jizerou,Point(15.42315044 50.611928997),"50.611928997545, 15.423150440616",Prague,,"50.088611111111, 14.421388888889"
Marie Vorobieff,1892-02-14T00:00:00Z,1984-05-04T00:00:00Z,Tcheboksary,Point(47.25 56.133333333),"56.133333333333, 47.25",Londres,,"51.507222222222, -0.1275"
Hendrik Willem Mesdag,1831-02-23T00:00:00Z,1915-07-10T00:00:00Z,Groningue,Point(6.55 53.216666666),"53.216666666667, 6.55",La Haye,,"52.084166666667, 4.3175"
Carl Buchheister,1890-10-17T00:00:00Z,1964-02-02T00:00:00Z,Hanovre,Point(9.738611111 52.374444444),"52.374444444444, 9.7386111111111",Hanovre,,"52.374444444444, 9.7386111111111"
